128,MIA,TE,Mike,Gesicki,0.31,13,128,17.07,129.5,1.5,-5.88,119.08,124.95,-34,94,11,11.2,-22.95
129,PIT,WR,Chase,Claypool,0.37,47,129,18.03,131.5,2.5,-0.98,151.42,152.4,-31,98,9,17.06,-19.01
130,TB,WR,Julio,Jones,0.91,48,130,30.03,133.5,3.5,-43.73,108.68,152.4,-32,98,11,-13.7,-73.75
131,IND,RB,Nyheim,Hines,0.41,44,131,18.66,134.5,3.5,-32.37,110.56,142.93,-31,100,14,-13.71,-51.02
132,WAS,RB,Brian,Robinson,0,45,132,15.83,135,3,-37.09,105.84,142.93,-32,100,14,-21.26,-52.92
133,DEN,DST,Den,Broncos,0,6,133,8.32,137,4,-12.19,101.74,113.93,-36,97,9,-3.87,-20.51
134,GB,DST,Gb,Packers,0,7,134,10.94,139.5,5.5,-0.97,112.96,113.93,-37,97,14,9.96,-11.91
135,DEN,TE,Albert,Okwuegbunam,0.9,14,135,13.87,140.5,5.5,-21.47,103.48,124.95,-41,94,9,-7.6,-35.34
136,DAL,DST,Dal,Cowboys,0,8,136,11.39,140.5,4.5,-1.79,112.15,113.93,-39,97,9,9.6,-13.18
137,NO,DST,No,Saints,0,9,137,8.32,142.5,5.5,-3,110.94,113.93,-40,97,14,5.32,-11.32
138,NYJ,WR,Garrett,Wilson,0,49,138,13.95,143,5,-31.69,120.72,152.4,-40,98,10,-17.74,-45.63
139,TEN,WR,Treylon,Burks,0,50,139,21.65,149,10,-9.94,142.47,152.4,-41,98,6,11.71,-31.58
140,NE,TE,Hunter,Henry,0.65,15,140,17.66,149.5,9.5,0,124.95,124.95,-46,94,10,17.66,-17.66
141,NO,WR,Jarvis,Landry,0.69,51,141,17.35,152.5,11.5,-26.76,125.65,152.4,-43,98,14,-9.4,-44.11
142,KC,WR,Skyy,Moore,0,52,142,31.83,153,11,-45.42,106.98,152.4,-44,98,8,-13.59,-77.25
143,KC,RB,Ronald,Jones,0.64,46,143,25.11,153,10,-90.39,52.54,142.93,-43,100,8,-65.29,-115.5
144,KC,WR,Marquez,Valdesscantling,0.17,53,144,18.51,153,9,-20.4,132,152.4,-46,98,8,-1.89,-38.91
145,TB,WR,Russell,Gage,0.7,54,145,24.67,153,8,-15.55,136.85,152.4,-47,98,11,9.12,-40.22
146,KC,RB,Isiah,Pacheco,0,47,146,30.05,154.5,8.5,-83.32,59.61,142.93,-46,100,8,-53.26,-113.37
147,CIN,WR,Tyler,Boyd,0.72,55,147,6.35,157,10,-20.16,132.24,152.4,-49,98,10,-13.81,-26.51
148,MIA,RB,Raheem,Mostert,0.92,48,148,19.97,157.5,9.5,-27.28,115.65,142.93,-48,100,11,-7.31,-47.25
149,MIA,QB,Tua,Tagovailoa,0.73,16,149,17.77,159.5,10.5,-26.95,313.49,340.44,-50,99,11,-9.18,-44.72
150,LAC,RB,Isaiah,Spiller,0,49,150,30.04,161,11,-78.84,64.09,142.93,-50,100,8,-48.8,-108.88
151,NE,WR,Devante,Parker,0.84,56,151,18.06,161.5,10.5,-19.45,132.95,152.4,-53,98,10,-1.39,-37.51
