246,DEN,K,Brandon,Mcmanus,0,13,246,0,217,-29,-10,139.1,149.1,-64,,182
247,BAL,RB,Mike,Davis,0.45,71,247,0,251,4,-86.87,45.39,132.26,-157,,90
248,SF,K,Robbie,Gould,0,14,248,0,208,-40,-9,140.1,149.1,-66,,182
249,CHI,WR,Byron,Pringle,0,90,249,0,354,105,-68.13,82.03,150.16,-152,,97
250,PHI,K,Jake,Elliott,0,15,250,0,264,14,-15.5,133.6,149.1,-68,,182
251,ARI,DST,Ari,Cardinals,0,18,251,0,340,89,-11.2,104.2,115.4,-89,,162
252,LAC,K,Dustin,Hopkins,0,16,252,0,224,-28,-11.5,137.6,149.1,-70,,182
253,SF,RB,Trey,Sermon,0.54,72,253,0,270,17,-110.95,21.31,132.26,-163,,90
254,HOU,RB,Rex,Burkhead,0.83,73,254,0,384,130,-41.29,90.97,132.26,-164,,90
255,TEN,DST,Ten,Titans,0,19,255,0,222,-33,-13.3,102.1,115.4,-93,,162
256,BUF,RB,Zack,Moss,0.8,74,256,0,361,105,-105.79,26.47,132.26,-166,,90
257,CIN,DST,Cin,Bengals,0,20,257,0,249,-8,-13.3,102.1,115.4,-95,,162
258,GB,WR,Randall,Cobb,0.94,91,258,0,294,36,-51.61,98.55,150.16,-161,,97
259,CLE,QB,Deshaun,Watson,0.17,30,259,0,182,-77,-182.036,124.586,306.622,-158,,101
260,ATL,WR,Bryan,Edwards,0.5,92,260,0,303,43,-64.45,85.71,150.16,-163,,97
261,NYJ,WR,Braxton,Berrios,0,93,261,0,391,130,-77.55,72.61,150.16,-164,,97
262,NO,TE,Adam,Trautman,0.31,29,262,0,316,54,-52.54,72.01,124.55,-157,,105
263,GB,WR,Sammy,Watkins,0.94,94,263,0,178,-85,-73.36,76.8,150.16,-166,,97
264,CAR,DST,Car,Panthers,0,21,264,0,273,9,-15.9,99.5,115.4,-102,,162
265,NYJ,K,Greg,Zuerlein,0,17,265,0,235,-30,-31.9,117.2,149.1,-83,,182
266,MIN,DST,Min,Vikings,0,22,266,0,244,-22,-9.3,106.1,115.4,-104,,162
267,NO,K,Wil,Lutz,0,18,267,0,203,-64,-16,133.1,149.1,-85,,182
268,PIT,K,Chris,Boswell,0,19,268,0,243,-25,-10.4,138.7,149.1,-86,,182
269,PIT,QB,Mitch,Trubisky,0,31,269,0,299,30,-120.934,185.688,306.622,-168,,101
270,ARI,RB,Eno,Benjamin,0,75,270,0,259,-11,-91.08,41.18,132.26,-180,,90
271,TB,TE,Cameron,Brate,0.38,30,271,0,190,-81,-57.25,67.3,124.55,-166,,105
272,NE,WR,Nelson,Agholor,0.63,95,272,0,372,100,-79.79,70.37,150.16,-175,,97
273,GB,K,Mason,Crosby,0,20,273,0,385,112,-7.5,141.6,149.1,-91,,182
274,NYG,RB,Matt,Breida,0,76,274,0,282,8,-75.3,56.96,132.26,-184,,90
275,JAC,TE,Dan,Arnold,0,31,275,0,388,113,-67.33,57.22,124.55,-170,,105
276,NYJ,TE,Cj,Uzomah,0.27,32,276,0,280,4,-57.09,67.46,124.55,-171,,105
277,CHI,DST,Chi,Bears,0,23,277,0,223,-54,-14.1,101.3,115.4,-115,,162
278,NO,WR,Marquez,Callaway,0.92,96,278,0,297,19,-103.38,46.78,150.16,-181,,97
